,0,1,2,3,4,5,6,7,8,9,10
Aalborg University,0.581946545638,0.0175824175824,0.778993435449,0.656680161943,0.67731629393,0.583252190847,0.652988855117,0.401741293532,0.455703211517,0.127853753054,0.333829857663
Aalto University,0.407967725668,0.0131868131868,0.778993435449,0.374898785425,0.67731629393,0.329113924051,0.421985815603,0.77736318408,0.210409745293,0.131391985622,0.333829857663
Ajou University,0.441754916793,0.0637362637363,0.778993435449,0.612955465587,0.67731629393,0.627069133398,0.773556231003,0.77736318408,0.0991140642303,0.130577630507,0.333829857663
Aristotle University of Thessaloniki,0.47049924357,0.0043956043956,0.778993435449,0.836437246964,0.67731629393,0.326192794547,0.672745694022,0.621890547264,0.769102990033,0.129819437814,0.333829857663
Autonomous University of Madrid,0.307110438729,0.0175824175824,0.778993435449,0.726315789474,0.67731629393,0.218597857838,0.251773049645,0.389925373134,0.478959025471,0.135688410884,0.333829857663
Bangor University,0.56278366112,0.182417582418,0.542669584245,0.581376518219,0.67731629393,0.604673807205,0.552178318136,0.694029850746,0.393687707641,0.128190727584,0.333829857663
Bar-Ilan University,0.514372163389,0.021978021978,0.586433260394,0.638056680162,0.67731629393,0.396786757546,0.404255319149,0.77736318408,0.328349944629,0.128977001488,0.333829857663
Beihang University,0.63590519415,0.140659340659,0.778993435449,0.506072874494,0.67731629393,0.476630963973,0.882472137791,0.77736318408,0.261904761905,0.127460616102,0.333829857663
Beijing Normal University,0.391830559758,0.0571428571429,0.107221006565,0.836437246964,0.67731629393,0.373417721519,0.495440729483,0.516169154229,0.823920265781,0.131672797731,0.333829857663
Ben-Gurion University of the Negev,0.356530509329,0.0175824175824,0.778993435449,0.836437246964,0.605431309904,0.269230769231,0.383485309017,0.516169154229,0.139534883721,0.132992614642,0.333829857663
Bielefeld University,0.479576399395,0.158241758242,0.778993435449,0.836437246964,0.67731629393,0.468841285297,0.37537993921,0.621890547264,0.834440753045,0.129650950549,0.333829857663
"Birkbeck, University of London",0.664649520928,0.215384615385,0.624726477024,0.836437246964,0.629392971246,0.700097370983,0.343465045593,0.570273631841,0.888150609081,0.127039397939,0.333829857663
Braunschweig University of Technology,0.638426626324,0.195604395604,0.462800875274,0.836437246964,0.67731629393,0.529698149951,0.378926038501,0.77736318408,0.454042081949,0.127179803993,0.333829857663
Brunel University,0.442259203227,0.156043956044,0.778993435449,0.3004048583,0.67731629393,0.476630963973,0.650455927052,0.694029850746,0.633444075305,0.130493386875,0.333829857663
Carleton University,0.613212304589,0.0945054945055,0.778993435449,0.812955465587,0.67731629393,0.472736124635,0.748226950355,0.35447761194,0.888150609081,0.127460616102,0.333829857663
Catholic University of the Sacred Heart,0.401916288452,0.0791208791209,0.778993435449,0.826720647773,0.67731629393,0.409931840312,0.495440729483,0.575870646766,0.832225913621,0.131420066833,0.333829857663
Central South University,0.453353504791,0.0901098901099,0.778993435449,0.227530364372,0.67731629393,0.336903602726,0.827760891591,0.694029850746,0.450166112957,0.130212574766,0.333829857663
Chalmers University of Technology,0.399899142713,0.0351648351648,0.765864332604,0.510931174089,0.67731629393,0.351509250243,0.434143870314,0.570273631841,0.888150609081,0.131532391677,0.333829857663
Charles University in Prague,0.291981845688,0.0,0.618161925602,0.830769230769,0.514376996805,0.227361246349,0.23556231003,0.247512437811,0.702657807309,0.136643172054,0.333829857663
Chiba University,0.403429147756,0.0703296703297,0.778993435449,0.836437246964,0.67731629393,0.340311587147,0.331306990881,0.478855721393,0.258582502769,0.131476229255,0.333829857663
China Agricultural University,0.667170953101,0.145054945055,0.778993435449,0.80971659919,0.67731629393,0.406523855891,0.374366767984,0.77736318408,0.62015503876,0.126983235517,0.333829857663
Chonbuk National University,0.415532022189,0.0527472527473,0.778993435449,0.836437246964,0.67731629393,0.494157740993,0.765450861196,1.0,0.0869324473976,0.131167335936,0.333829857663
Chonnam National University,0.393343419062,0.043956043956,0.778993435449,0.82024291498,0.67731629393,0.395326192795,0.626646403242,0.541044776119,0.121816168328,0.131785122574,0.333829857663
Chulalongkorn University,0.29752899647,0.0,0.778993435449,0.0777327935223,0.67731629393,0.564751703992,0.750759878419,0.567786069652,0.888150609081,0.136250035102,0.333829857663
Chungnam National University,0.626828038326,0.0967032967033,0.778993435449,0.836437246964,0.67731629393,0.456669912366,0.567375886525,0.705223880597,0.328349944629,0.127348291258,0.333829857663
City University of Hong Kong,0.375189107413,0.0153846153846,0.778993435449,0.836437246964,0.67731629393,0.244888023369,0.893110435664,0.621890547264,0.355481727575,0.13229058437,0.333829857663
Concordia University,0.42107917297,0.0791208791209,0.778993435449,0.15951417004,0.67731629393,0.526290165531,0.723404255319,0.705223880597,0.700996677741,0.131055011092,0.333829857663
Curtin University,0.606656580938,0.0637362637363,0.778993435449,0.82995951417,0.67731629393,0.429892891918,0.389564336373,0.567786069652,0.520487264673,0.127544859734,0.333829857663
Deakin University,0.599092284418,0.0637362637363,0.778993435449,0.705263157895,0.67731629393,0.513145082765,0.669199594732,0.575870646766,0.702657807309,0.127657184578,0.333829857663
East China University of Science and Technology,0.50479072113,0.105494505495,0.778993435449,0.836437246964,0.67731629393,0.420155793574,0.826747720365,0.77736318408,0.212624584718,0.129117407543,0.333829857663
Ehime University,0.619263741805,0.162637362637,0.778993435449,0.668825910931,0.67731629393,0.584225900682,0.57852077001,0.621890547264,0.416389811739,0.127460616102,0.333829857663
Eindhoven University of Technology,0.351487644982,0.043956043956,0.778993435449,0.526315789474,0.579872204473,0.291139240506,0.557244174265,0.389925373134,0.322259136213,0.133217264328,0.333829857663
Ewha Womans University,0.383257690368,0.0417582417582,0.778993435449,0.836437246964,0.67731629393,0.453748782863,0.511651469098,0.77736318408,0.106312292359,0.131925528629,0.333829857663
Eötvös Loránd University,0.416036308623,0.0,0.181619256018,0.836437246964,0.345047923323,0.532619279455,0.427051671733,0.331467661692,0.75138427464,0.131195417146,0.333829857663
Federal University of Minas Gerais,0.513363590519,0.0131868131868,0.778993435449,0.708502024291,0.67731629393,0.410418695229,0.503039513678,0.570273631841,0.206533776301,0.12903316391,0.333829857663
Federal University of Rio Grande do Sul,0.586989409985,0.0175824175824,0.778993435449,0.836437246964,0.67731629393,0.401168451801,0.61094224924,0.516169154229,0.739202657807,0.127797590632,0.333829857663
Federal University of São Paulo,0.610690872416,0.021978021978,0.778993435449,0.836437246964,0.67731629393,0.494157740993,0.633232016211,0.478855721393,0.870431893688,0.127488697313,0.333829857663
Graduate University for Advanced Studies,0.518910741301,0.123076923077,0.778993435449,0.836437246964,0.67731629393,0.592015579357,0.281661600811,0.705223880597,0.888150609081,0.128892757856,0.333829857663
Grenoble Institute of Technology,0.464447806354,0.0769230769231,0.535010940919,0.836437246964,0.629392971246,0.323271665044,0.5273556231,0.642412935323,0.358803986711,0.130044087501,0.333829857663
Griffith University,0.622289460414,0.0703296703297,0.778993435449,0.836437246964,0.67731629393,0.439143135346,0.526342451874,0.532960199005,0.512181616833,0.127376372469,0.333829857663
Gunma University,0.633383761977,0.162637362637,0.778993435449,0.836437246964,0.67731629393,0.594936708861,0.529888551165,0.621890547264,0.324473975637,0.127264047626,0.333829857663
Gwangju Institute of Science and Technology,0.322743318205,0.0351648351648,0.778993435449,0.836437246964,0.67731629393,0.518013631938,0.556737588652,0.478855721393,0.0592469545958,0.134817893348,0.333829857663
Gyeongsang National University,0.433182047403,0.0615384615385,0.778993435449,0.836437246964,0.67731629393,0.61100292113,0.674772036474,0.896144278607,0.0957918050941,0.130802280194,0.333829857663
Hannover Medical School,0.293998991427,0.0989010989011,0.778993435449,0.836437246964,0.67731629393,0.312560856865,0.249746707194,0.401741293532,0.323366555925,0.136446603578,0.333829857663
Harbin Institute of Technology,0.444276348966,0.0813186813187,0.778993435449,0.421862348178,0.67731629393,0.253164556962,0.87031408308,0.77736318408,0.392580287929,0.130465305664,0.333829857663
Hiroshima University,0.284921835603,0.0549450549451,0.778993435449,0.836437246964,0.67731629393,0.289191820837,0.282168186424,0.439676616915,0.12015503876,0.137092471427,0.333829857663
Hong Kong Polytechnic University,0.368633383762,0.0153846153846,0.778993435449,0.277732793522,0.67731629393,0.251217137293,0.772036474164,0.567786069652,0.446290143965,0.1326275589,0.333829857663
Huazhong University of Science and Technology,0.405446293495,0.0659340659341,0.778993435449,0.406477732794,0.67731629393,0.230769230769,0.647416413374,0.77736318408,0.232004429679,0.131335823201,0.333829857663
Indian Institute of Science,0.476550680787,0.00879120879121,0.778993435449,0.646153846154,0.67731629393,0.299902629017,0.520770010132,0.694029850746,0.285160575858,0.12967903176,0.333829857663
Indian Institute of Technology Bombay,0.568330811901,0.0175824175824,0.778993435449,0.787854251012,0.67731629393,0.505842259007,0.808510638298,0.77736318408,0.162236987818,0.128134565162,0.333829857663
Indian Institute of Technology Madras,0.557740796773,0.0241758241758,0.778993435449,0.276113360324,0.67731629393,0.511684518014,0.945795339412,0.754975124378,0.328349944629,0.128274971217,0.333829857663
Inha University,0.599596570852,0.0879120879121,0.778993435449,0.612145748988,0.67731629393,0.538948393379,0.783181357649,0.694029850746,0.415282392027,0.127629103367,0.333829857663
Innsbruck Medical University,0.425113464448,0.0153846153846,0.778993435449,0.836437246964,0.67731629393,0.461051606621,0.410334346505,1.0,0.725913621262,0.130802280194,0.333829857663
Jagiellonian University,0.466969238527,0.0021978021978,0.778993435449,0.836437246964,0.67731629393,0.387049659202,0.469604863222,0.77736318408,0.5,0.129847519025,0.333829857663
James Cook University,0.559253656077,0.0527472527473,0.778993435449,0.836437246964,0.67731629393,0.492210321324,0.244174265451,0.489427860697,0.671650055371,0.128274971217,0.333829857663
Jilin University,0.414523449319,0.0659340659341,0.474835886214,0.643724696356,0.67731629393,0.245861733204,0.463525835866,0.705223880597,0.509413067553,0.131167335936,0.333829857663
Johannes Gutenberg University of Mainz,0.241048915784,0.0813186813187,0.778993435449,0.836437246964,0.603833865815,0.199610516066,0.176291793313,0.253109452736,0.640088593577,0.14077111005,0.333829857663
Juntendo University,0.476550680787,0.0967032967033,0.778993435449,0.836437246964,0.67731629393,0.629990262902,0.494427558257,0.516169154229,0.878183831672,0.129707112971,0.333829857663
Justus Liebig University Giessen,0.360060514372,0.138461538462,0.778993435449,0.836437246964,0.67731629393,0.323271665044,0.355623100304,0.387437810945,0.281838316722,0.132880289798,0.333829857663
Kagoshima University,0.597579425113,0.149450549451,0.778993435449,0.388663967611,0.67731629393,0.692794547225,0.683890577508,0.621890547264,0.343300110742,0.12774142821,0.333829857663
Kanazawa University,0.457387796268,0.0879120879121,0.778993435449,0.591902834008,0.67731629393,0.450340798442,0.417426545086,0.621890547264,0.398117386489,0.130072168712,0.333829857663
Keele University,0.672213817448,0.213186813187,0.778993435449,0.836437246964,0.67731629393,0.628042843233,0.539007092199,0.449626865672,0.878183831672,0.126927073095,0.333829857663
King Saud University,0.496722138174,0.0,0.778993435449,0.245344129555,0.67731629393,0.568159688413,0.543059777102,0.896144278607,0.18992248062,0.129594788127,0.333829857663
Konkuk University,0.568330811901,0.0879120879121,0.778993435449,0.630769230769,0.67731629393,0.532132424537,0.746707193516,1.0,0.18161683278,0.128134565162,0.333829857663
Kumamoto University,0.414523449319,0.0747252747253,0.631291028446,0.539271255061,0.67731629393,0.469328140214,0.424012158055,0.570273631841,0.176079734219,0.131223498357,0.333829857663
Kyung Hee University,0.391830559758,0.0461538461538,0.518599562363,0.751417004049,0.67731629393,0.37682570594,0.61094224924,0.77736318408,0.0968992248062,0.131785122574,0.333829857663
Kyungpook National University,0.311144730207,0.0307692307692,0.778993435449,0.685020242915,0.67731629393,0.345180136319,0.649442755826,0.373134328358,0.0719822812846,0.135519923619,0.333829857663
Lancaster University,0.439233484619,0.156043956044,0.778993435449,0.556275303644,0.67731629393,0.356377799416,0.401215805471,0.298507462687,0.723145071982,0.130633792929,0.333829857663
Lanzhou University,0.545133635905,0.116483516484,0.778993435449,0.836437246964,0.67731629393,0.357838364167,0.684903748734,0.705223880597,0.609634551495,0.128415377271,0.333829857663
Lehigh University,0.261220373172,0.448351648352,0.778993435449,0.063967611336,0.67731629393,0.586660175268,0.531914893617,0.694029850746,0.559800664452,0.138777344079,0.333829857663
Leipzig University,0.301059001513,0.107692307692,0.682713347921,0.836437246964,0.64696485623,0.27458617332,0.268490374873,0.812810945274,0.369324473976,0.135941141782,0.333829857663
Linköping University,0.329299041856,0.0307692307692,0.778993435449,0.325506072874,0.67731629393,0.296494644596,0.375886524823,0.419154228856,0.888150609081,0.134509000028,0.333829857663
London School of Hygiene & Tropical Medicine,0.251638930913,0.0879120879121,0.778993435449,0.836437246964,0.493610223642,0.291139240506,0.301925025329,0.317164179104,0.813399778516,0.139367049507,0.333829857663
Maastricht University,0.237518910741,0.0307692307692,0.778993435449,0.836437246964,0.67731629393,0.189386562804,0.367781155015,0.319029850746,0.323366555925,0.141023840948,0.333829857663
Macquarie University,0.469490670701,0.0351648351648,0.778993435449,0.602429149798,0.67731629393,0.390944498539,0.293819655522,0.373134328358,0.596899224806,0.129875600236,0.333829857663
Mahidol University,0.543620776601,0.0043956043956,0.778993435449,0.836437246964,0.67731629393,0.46299902629,0.371833839919,0.478855721393,0.88261351052,0.128499620904,0.333829857663
Martin Luther University of Halle-Wittenberg,0.50479072113,0.173626373626,0.758205689278,0.836437246964,0.651757188498,0.377312560857,0.344984802432,1.0,0.796788482835,0.129173569964,0.333829857663
Medical College of Wisconsin,0.295511850731,0.492307692308,0.778993435449,0.836437246964,0.67731629393,0.326679649464,0.283181357649,0.333955223881,0.770764119601,0.13619387268,0.333829857663
Medical University of South Carolina,0.308119011599,0.50989010989,0.778993435449,0.836437246964,0.67731629393,0.308666017527,0.363221884498,0.368781094527,0.584717607973,0.135632248463,0.333829857663
Medical University of Vienna,0.287947554211,0.0043956043956,0.778993435449,0.836437246964,0.67731629393,0.254138266796,0.236068895643,0.305348258706,0.436323366556,0.137008227795,0.333829857663
Middle East Technical University,0.434694906707,0.0,0.778993435449,0.151417004049,0.67731629393,0.523369036027,0.901215805471,0.621890547264,0.888150609081,0.130718036562,0.333829857663
Nagasaki University,0.453353504791,0.0945054945055,0.615973741794,0.267206477733,0.67731629393,0.573028237585,0.598784194529,0.705223880597,0.296788482835,0.130268737188,0.333829857663
Nagoya City University,0.579929399899,0.142857142857,0.778993435449,0.507692307692,0.67731629393,0.752190847128,0.532928064843,0.419154228856,0.389258028793,0.127966077897,0.333829857663
Nara Institute of Science and Technology,0.549672213817,0.134065934066,0.778993435449,0.836437246964,0.67731629393,0.722492697176,0.318642350557,0.705223880597,0.383167220377,0.128331133638,0.333829857663
National Autonomous University of Mexico,0.336359051942,0.0,0.624726477024,0.819433198381,0.67731629393,0.18305744888,0.212259371834,0.478855721393,0.533222591362,0.133891213389,0.333829857663
National Central University,0.567322239032,0.0263736263736,0.458424507659,0.836437246964,0.67731629393,0.364654333009,0.456940222898,0.694029850746,0.815060908084,0.128134565162,0.333829857663
National Cheng Kung University,0.236006051437,0.0043956043956,0.778993435449,0.080971659919,0.67731629393,0.154333008763,0.519756838906,1.0,0.40919158361,0.14108000337,0.333829857663
National Chiao Tung University,0.399899142713,0.00879120879121,0.778993435449,0.335222672065,0.67731629393,0.227848101266,0.650962512665,0.642412935323,0.888150609081,0.131532391677,0.333829857663
